Category,Message,content
neg,not leaders I couldn't even kids how to read its California the westernmost,0
neg,professional like i am,0
neg,have lost the map that would have been really smart,0
neg,right settle down settle down I'm not doing this,0
neg,dance fever okay okay hold on okay everybody let's do some exercise to,0
neg,it oh no her and turn turn turn turn -,0
neg,pokemon cards what is this,0
neg,and see what we get eye protection gear safety is number one importance,0
pos,because this one just hasn't had as much exposure to groundwater to build the big,1
neg,we do this I need to get another drink so give me a second I'm still interested,0
neg,refused it's five [ __ ] thousand fine,0
neg,do you see this you see that i knew i felt something hold on,0
neg,guys remember you guys remember when I made that rat burger video,0
neg,checked the price of gold right now see if it went up,0
neg,this is a tamagotchi is it alive,0
pos,get this [ __ ] boat move got it oh,1
neg,PlayStation 4 version of some of these games if there's a classics these are,0
pos,somebody say next game yeah let me load up yakuza there could,1
neg,unlike on that pond let's do the DK rap instead I've chilly oh yeah you brought,0
neg,would just be like the limestone could just be rock,0
neg,balance recover with directional buttons the game's over if the spider gets you,0
neg,it West at B and E is 200 is the west tower is the tower I can't read that,0
neg,i think it is oh we need uh we need one person no it's not long,0
neg,was in a crisis yes that's one yes Infinite Crisis is,0
neg,going to like today oh that's not a no what the [ __ ] you doing man,0
neg,you guys want to get a closer look i can barely even see that,0
neg,okay it's good TV every time know what I'm,0
neg,this is really pretty it's awesome quartz is actually one of the most,0
neg,2000s is Sam all right let's go let's go let's go let's go what if five five,0
neg,yeah i go yeah i'll i'll see you guys later,0
neg,break my PlayStation Eye microphone we have to get it let's get physical',0
neg,seen all right let's take it up and continue with the bus I mean this,0
pos,oh i gotta get the [ __ ] why is it not registering these i'm,1
neg,measly like worm arms here we go,0
neg,I didn't want to falling all right you can bully me that's fine,0
neg,motion control and run over as many people as you can to score points move,0
pos,this is a tamagotchi is it alive i think it's still alive,1
neg,go ready let's see what's in the purple lava rock,0
pos,and I put myself on the cover of my own magazine what a megalomaniac sicko I'm,1
neg,beat the high score of winter commercial that's the on screen Jeff doesn't stay,0
neg,about let's go like this because oh yeah i,0
neg,go to voiceover when the audio cue is rolling keep an eye on the car ohmmeter,0
neg,big eat kitchen or di biggie kitchen pancake episode,0
neg,go get it right in the middle,0
pos,today I am a skilled carpenter at work three more and you're done,1
neg,local science centers especially this one you ready,0
neg,Oh what is this stranger things whoa whoa whoa wait wait wait just like,0
neg,should i put that in something these are  cool,0
neg,reference to the what's his name did the guy the guy that sells the cocaine and,0
neg,move forward if the robbers are around step back with triangle this five nights,0
neg,today uh and let me just tell you we have got quite a special today we've got,0
neg,show auto why would otto be here chisel chisel just get the excavator,0
neg,dialogue just read the auto sweetie they're holding me hostage and making me,0
neg,your hair cuz I'm gonna look at it and,0
neg,a bio gator eight attack holy crap that's the,0
neg,make this really clear everybody on site here has been tested for covered within,0
neg,this is i know this is worth at least something,0
neg,to tell me what you got here okay so first of all the first you've got to,0
pos,either must be the water must have flowed,1
neg,whoa don't want to lose the hat i didn't even say hello how are you,0
neg,it's a party apartment yeah after the party's over a party rock stars came in,0
neg,we're all waiting no commercial what somebody gave a bunch of money to,0
neg,i might make like fifty thousand a hundred thousand dollars in the next,0
neg,that this can this can't be like a fun experience for like your little cousin,0
neg,this we're done with this by the way any more gimmicks we saw the gimmick and now,0
neg,we don't want to we don't want to register this [ __ ],0
neg,know seriously don't [ __ ] tell me that well how do we go from America's,0
neg,the life is paying for subs don't but saw it look it's luscious like,0
neg,bunch of this other cool stuff there's a story between that you don't,0
neg,thousand milliliters I'm gonna get it wrong I can here we go,0
pos,the bad news is they're totally worthless i'm not buying these,1
neg,and they patched it like ten times in a,0
neg,life is merely inside the newlywed Farquhar Dickson's pipe liars with busy,0
neg,ball you're the hero something crazy crazy going crazy I'm,0
neg,you could write an English paper so easily and look at these I can't believe,0
neg,different of the process a little bit different we'll call it,0
neg,to the car give me the guy wanted to shine right it's your machine,0
neg,brisket that is smothered with the best gravy we've cut this out of the,0
pos,we gotta move now we gotta move now get this [ __ ] boat moving,1
pos,binder or [ __ ] and i'm like this is all my stuff and please,1
neg,the chain doesn't fit maybe the um hold on can we do this,0
neg,I was trying to make it press 302 9 ok you're in the part ignore the spaceship,0
neg,the stupid treasure wait wait wait what's that what's up,0
neg,pain hopefully you enjoyed it I had a lot of fun and left enough time for,0
neg,signature Oh make sense now we're all gonna chill a,0
neg,that's a really pretty one it's kind of wedged in there wow,0
neg,are terrible are you ready to meet a fabulous there we go that's a picture of,0
neg,all right put that one in the box because that one's probably working,0
neg,on this in the ground wait hold on,0
neg,a couple minerals in it oh that is that,0
neg,clothes behind him I don't know what it's for but I always just leave,0
neg,it's made out of the stuff that makes up the crust of our planet it's actually a,0
neg,wow and this this has like blue under what's the blue underneath,0
neg,gamers you know what i mean i just sound like they caught my book,0
neg,okay what are they doing with another earth I'm getting with daydreaming time,0
neg,he made it he made it - grunts I love these please friends it look like ships,0
pos,there's been for water to pass through these voids the minerals get bigger and,1
pos,you so much that's sciencecenternevada.org,1
neg,failed it's not gonna show it he's serious,0
neg,backgrounds that day this is TV superstar brushing your teeth brush,0
neg,because it was all you keep change and then you get you change clothes and then,0
pos,don't capri suns kinder joys,1
pos,video music find the pressure points the lady wants,1
neg,say like there's nothing more common than this,0
neg,a shitload of rocks this place has got all these rocks,0
neg,two hp optimal illusion puts on a grand display,0
neg,I'm okay soccer played by 15 people per team no you just asked me that's the,0
neg,register it my dad again,0
pos,worst you've freezed me back to work,1
pos,you don't need to hear this this is past your bedtime anyways you,1
pos,that looks insane you got to get this part up here,1
neg,lighting is uniform try to calibrate at least one meter yeah yeah yeah make sure,0
neg,grab my phone grab my phone thank you,0
neg,Sookie bring my coat in Chihuahua let's see,0
neg,here we are y'all that's already a festive mimic,0
neg,green red red blue green blue red red blue green blue red red blue green blue,0
neg,so get ready and wax on wax off wax up okay I know I'm a professional right,0
neg,so cool awesome i i got treasures,0
pos,cards what is this what is grotto beasts,1
neg,I searched the came to the right in two seconds Oh what how many pose are there,0
pos,at least the number was still connected that's cool all right good,1
neg,on the cake holy [ __ ],0
neg,X is yes you got it you freaking me out I live in America I'm an American when,0
neg,that yeah this one is like already down the middle,0
neg,oh my god you can do it I know you I know you're capable of it there you are,0
neg,oh it's not harder okay it's the same one that dad did except it's way harder,0
neg,all right mom all right i love you too,0
neg,very dirty geode forming all sorts of different geologic uh processes so,0
neg,that one this is like i can't wait to see what's in there,0
neg,okay what show rock star let's get physical',0
neg,yes but you're supposed to play this game with like four people in your,0
pos,well that was worth it that was absolutely worth it,1
neg,serious I failed the commercial well I met,0
neg,awesome that nice cloudy uh texture oh let's see like the that's cool looks,0
neg,clothes no I don't I don't want to put clothes in my locker okay Aston for the,0
neg,cool yeah it's almost like perfectly it's like a perfect circle,0
neg,this I don't know if it's the way I think if it's the guys offices made,0
pos,here clearing off the old plaster well easy easy easy,1
neg,right buttons Midway X X is yes right X,0
neg,underneath here underneath our our patented microscopic,0
neg,crisis for the PlayStation one reason why we're gonna do this is because this,0
pos,i wanted you so badly to just like call the guy in like it's good tv,1
neg,don't okay well fine come on hurry up dude is he gonna turn around every,0
neg,is it going do it oh it popped,0
neg,how are you doing not too bad what can i what can i do for you today,0
pos,i have to i have to find that where it's not in my hand right no,1
neg,1 18 p.m 1952. then these come out and like didn't,0
neg,doesn't fit the chain doesn't fit maybe the um hold,0
pos,did you say your mom is that right yeah um well,1
neg,here so we got four thousand fifty five,0
neg,bubbles is its own little micro environment so each one's going to be,0
pos,die from fire ants what's that what's that what's that,1
neg,wise from assembling these images oh man oh man,0
neg,you got that wrong it's oh wait i look like andy from toy story,0
neg,this oh it's too oh I gotta get them oh I know what to do now,0
neg,so I'm not safe here I'll be safe when,0
neg,but that place is awesome glad they took care of you,0
pos,grandpa i guess that thank you we found it,1
neg,15 15 15 what do we got 33 anymore 33 we,0
neg,right now with covet we're doing lots of virtual field trips so just check out,0
neg,voicemail all right you're probably the only,0
pos,triceratops and then you offer me uh five thousand dollars for it well let's,1
pos,i don't know what's going to be in here but i'm very curious,1
neg,bits ivory thanks to the $5 again you gave like at least like 20 or $30,0
neg,defecating thanks to the $4 German we're really drunk but you're what but,0
neg,impossible without your help so thank you so much that's,0
neg,dodge right snowboards gift what attacks with left/right directional,0
pos,that like 10 people bought brick I'm the important one here I'm not gonna make a,1
neg,there's more of this can you see this look it,0
neg,I'm German 9 8 5 I don't I don't this is drivel to me fine it's a,0
neg,care of you but waters all all three of,0
neg,this is a smoky uh smokey granite i can tell by the flavor,0
neg,this way all right and it wait till he goes walks this way the sec is,0
neg,okay I know I'm a professional right sick,0
neg,guy the guy that's at the front desk he,0
neg,okay would you guys be freaking out no I,0
neg,nothing well maybe maybe you shouldn't have lost the map,0
neg,a blonde like that that's good do you want to change your outfit color,0
neg,I don't know it's to Mike on do you hear me,0
pos,sean let me ask you a question i know,1
neg,your hair and everything else later if you're happy here's how your,0
neg,windows this is how you die on camera do,0
neg,they're all on mobile no you're cooking up a storm you've unlocked another,0
neg,period where um where did you come across this piece,0
neg,somebody that knows what they're talking about,0
neg,because he's not featured in every commercial let's go to the magazine now,0
neg,sentences but thank you dedicating hopefully you sleep it off because that,0
pos,this looks like a letter what does it say dear beloved family,1
neg,override yes rim for all thanks for the five thousand bits fat bits for a very,0
neg,get a D on every single one of these,0
pos,what else can i possibly say about what i'm doing right now,1
neg,stardew valley seed packets and a minecraft diamond you know what starter,0
neg,enough chain i don't know if we can if,0
neg,especially this one you ready three two one,0
neg,chicken electrocute me just what may think I think I got the answer,0
neg,[ __ ] TV we go turn off the pixels I can't do that,0
neg,person that left a voicemail at that company's voicemail in the last like 25,0
pos,puss a bio gator eight attack holy crap that's the,1
neg,it's gotta be right they win,0
pos,he's only going in the dirt people are probably having a panic attack right now,1
neg,i'm not bringing that in here until you give me a price they're rocks,0
pos,and another interesting thing about this one is is that this isn't just pure,1
neg,like hey gosh let me ask you a question,0
neg,the clown that cracks the nuts here we go,0
neg,it off just wait wait wait wait wait wait I'll,0
neg,fit Corinne see dollars thanks to the fifty bucks,0
neg,[ __ ] he's won so easy blow blow blow red pink pink,0
neg,behavior with a poet I'm flying wait,0
neg,one kilometer a hundred thousand millimeters know what I'm pressing the,0
neg,playing like tug of war with a uh with a geode,0
neg,you can do a new commercial new commercial,0
neg,great job all right three two one and do that reliably see how our team is to,0
neg,okay so for all of us video gamers out there would you qualify this as like,0
neg,used one of these in a long time 1 18 p.m 1952.,0
neg,what happened to him um anyways uh,0
neg,now nope it's gonna know that I would've,0
neg,through this I'll get through this yeah I gotta get some [ __ ] background,0
neg,[ __ ] they change it a little bit I think I haven't memorized no then not to,0
neg,minerals are really small and we got mostly hollow space so,0
pos,heard of stardew valley i don't know any idea what you're talking about,1
neg,is it alive is this a is this a live,0
neg,oh maybe a little bit more over here very very heavy quartz crack rock andy,0
pos,yeah i'd buy it yeah no this is cool this is cool i'll own it,1
neg,face and it'll be questioning my whole reality so don't do that but thank you,0
neg,beautiful condition we just checked through them and uh,0
neg,oh [ __ ] is it like did I take talking,0
neg,no no no no relax it got for attack,0
neg,right there all right that's in oh wow all right this is it,0
neg,gonna be me this isn't even me skip this,0
neg,this one nearly there I'm an a-list celebrity guys,0
pos,one two three what's in there i'm not sure,1
neg,don't understand and not only do I have one Oscar I got two two Oscars and,0
pos,you did it you all the stupid 90s snacks,1
neg,pretty pure quartz but it does have so a little purplish tint to it,0
neg,and it's in part thanks to you thanks for always putting on a good show and,0
pos,probably 49 998. you are you are a tricky one,1
neg,trust me this is this is much harder than you think it is,0
pos,you know what i mean what else could i even possibly say we found the company,1
neg,I made as a grandma's I did it great Canadian says is this like one of those,0
neg,that's not my style I'm not gonna I don't have cell phone commercials you,0
neg,let's go big big bear claw I need to make some do somebody's daddy daddy,0
neg,those are probably some sort of aluminum mineral would be my guess,0
neg,where are in screen green sorry little green green pink blue green,0
pos,not this stuff is not looking for the sir this stuff is not working stuff,1
neg,damnit never mind I've made a start in here clearing off the old plaster,0
neg,like signature I want that [ __ ] builder I want that billboard outside my,0
pos,repeatedly fill up the me the massage meter,1
neg,no I can happen you,0
neg,this students where I make all drink celebrities so let's hope you're a class,0
neg,it's gonna be full so oh wow hope we have enough chain to do them all,0
pos,i always knew i always knew sometimes you just have to double check,1
neg,touch and i'm gonna touch my hand i just heard you,0
neg,virtual field trips so just check out the website,0
neg,if not millions yeah millions or a thousand wow,0
neg,get away from me is he gone oh no i'm just kidding,0
neg,stores they sell this stuff that you see that,0
neg,win we need more commercials available for,0
neg,Chuck game over if Marika gets hit wake up dozing kids with X switch kids,0
pos,come on this was in the ground,1
neg,it before the counter hits zero use directional buttons to avoid falling,0
neg,be in comedy you didn't think there was going to be comedy,0
pos,i i mean these are great pieces i the best i could do would be,1
neg,see you leave a big one this is wink no,0
neg,would you think so absolutely just hang on to these,0
neg,collectible monster card packs from 1997 if this is pokemon,0
neg,you go to the JIT I don't wanna do that that was paying,0
neg,I got my masters in business engineering I sold brick,0
neg,hey hey did you know that every andy no did every,0
pos,the companies which contract do you want boy look sheriff what category Z the,1
neg,that could be from an ancient civilization,0
neg,there but so here's a really good question for you,0
pos,porcelain that's i mean that's kind of cool i guess,1
neg,and then there's the blackish stuff which is more just your typical lava,0
pos,supposed to be cool but it wasn't what's that what's that what's that,1
neg,easily and look at these I can't believe what you've done here look what you've,0
neg,line somebody get the slogan ready please toilet sheriff it's high noon for,0
pos,whoa whoa whoa whoa whoa whoa whoa something in here something in there,1
neg,dear beloved family if you're reading this right now,0
neg,asking honestly i have to ask very honest questions,0
pos,table and i'm joined by josh from,1
neg,that's the skull that's the skull hey i found the skull,0
neg,I would be upset with that photo if I,0
neg, in here so bad i'm gonna tire myself out,0
neg,coming thank you it's been a pleasure seriously got somewhere to go let's go,0
neg,products ok so I meant to put the B this,0
neg,that roast restaurant and you sit down and you say okay okay yeah here's here's,0
neg,reloaded let's try to get a list Jeremiah is an a-list streamer with a,0
neg,look knock this over,0
neg,up to three to is this this is actually pretty this is kind of cool,0
